Timestamp;Accel X;Accel Y;Accel Z;Gyro X;Gyro Y;Gyro Z
11:56:27 م;4.76;-10.91;6.96;0.52;2.35;0
11:56:27 م;-5.1;-3.86;1.83;6.42;1.09;0
11:56:27 م;-3.03;-1.41;1.68;2.08;-0.92;0.03
11:56:27 م;13.01;-4.61;-7.25;-5.29;-2.66;0.04
11:56:27 م;6.88;-15.97;6.98;-8.73;1.07;0.01
11:56:27 م;4.84;-21.64;13.58;8.73;6.92;-0.01
11:56:27 م;-3.92;-4.65;1.9;5.08;-2.62;0.03
11:56:27 م;5.71;-1.48;-7.62;-5.48;0.75;0.03
11:56:27 م;17.29;-16.37;4.47;-7.02;2.59;0.01
11:56:28 م;1.49;-19.26;14.49;8.73;4.79;-0.01
11:56:28 م;-6.34;-2.66;3.86;6.82;-1.01;0.03
11:56:28 م;-0.19;-1.89;-3.13;-2.35;2.44;0.03
11:56:28 م;10.36;-15.83;2.14;-8.73;3.61;0.01
11:56:28 م;8.7;-21.46;11.87;2.19;4.03;0
11:56:28 م;-18.97;-9.22;8.9;8.73;1.53;0.01
11:56:28 م;-1.78;-0.6;2.09;-0.89;2.99;0.02
11:56:28 م;9.01;-11.64;-5.95;-8.73;-1.73;0.03
11:56:28 م;8.07;-14.39;-0.74;0.08;3.15;0.01
11:56:28 م;-5.43;-16.7;4.85;6.91;5.95;-0.01
11:56:29 م;-0.33;-2.68;1.85;5.81;-3.12;0.02
11:56:29 م;6.84;-3.02;-2.05;0.18;-0.35;0.03
11:56:29 م;6.42;-13.27;3.2;-8.31;-0.56;0.02
11:56:29 م;5.44;-18.72;9;1.42;5.5;-0.01
11:56:29 م;-14.72;-5.26;7.71;8.45;-0.56;0.01
11:56:29 م;-1.2;0.53;-1.7;1.73;2.78;0.03
11:56:29 م;8.35;-11.56;-8.79;-8.73;0.96;0.03
11:56:29 م;10.82;-20.36;8.19;0.2;5.49;0
11:56:29 م;-15.76;-10.15;12.29;8.73;1.25;-0.01
11:56:30 م;1.8;-0.38;5.67;3.4;1.92;0.02
11:56:30 م;-0.17;-6.03;-14.37;-8.73;-1.25;0.03
11:56:30 م;11.57;-17.18;8.6;-3.12;3.34;0.01
11:56:30 م;-6.58;-18.67;19.47;5.87;4.83;-0.02
11:56:30 م;-3.62;0.76;-3.62;7.5;-1.32;0.03
11:56:30 م;5.49;1.27;-10.87;-5.07;3.01;0.03
11:56:30 م;13.2;-20.72;7.82;-8.73;1.89;0.02
11:56:30 م;0.32;-16.72;16.29;7.43;3.02;-0.01
11:56:30 م;-8.25;-1.01;-0.54;8.36;-1.02;0.02
11:56:31 م;2.66;0.52;-3.24;-0.86;2.44;0.03
11:56:31 م;17.5;-21.72;5.46;-8.73;0.99;0.02
11:56:31 م;7.34;-21.49;12.52;5.42;5.11;-0.01
11:56:31 م;-18.41;-3.97;4.39;8.73;-1.72;0.02
11:56:31 م;4.91;1.02;-1.72;0.54;2.44;0.03
11:56:31 م;10.73;-18.89;-4.3;-8.73;-1.36;0.03
11:56:31 م;3.23;-17.85;4.95;2.41;5.28;0
11:56:31 م;-12.62;-8.2;8.69;8.73;1.81;0
11:56:31 م;4.06;2.14;-3.12;0.43;1.29;0.03
11:56:31 م;10.05;-13.86;-8.78;-8.73;-2.13;0.03
11:56:32 م;7.72;-16.07;7.08;0.33;2.88;0
11:56:32 م;-8.21;-12.67;6.27;8.73;4.36;-0.01
11:56:32 م;4.39;-0.78;-4.09;3.09;0.38;0.03
11:56:32 م;12.47;-20;-6.02;-8.73;0.88;0.02
11:56:32 م;15.78;-19.56;8.26;2.6;4.89;-0.01
11:56:32 م;-17.46;-5.28;2.17;8.65;1.5;0.01
11:56:32 م;5.43;0.77;-10.45;2.74;3.08;0.03
11:56:32 م;15.84;-21.76;2.34;-8.73;0.81;0.02
11:56:32 م;6.96;-17.28;8.5;2.73;4.29;-0.01
11:56:33 م;-14.27;-2.42;-2.64;8.73;1.29;0.02
11:56:33 م;12.77;-0.44;-11.15;0.39;2.95;0.03
11:56:33 م;17.1;-22.24;6.31;-8.73;1.5;0.02
11:56:33 م;5.59;-11.21;8.3;3.55;4.15;-0.01
11:56:33 م;-2.17;-0.1;-5.15;8.14;-0.39;0.02
11:56:33 م;9.35;1.31;-5.58;-1.64;0.99;0.03
11:56:33 م;12.49;-17.48;1.49;-8.73;1.62;0.02
11:56:33 م;9.61;-18.19;9.79;7.3;6.27;-0.01
11:56:33 م;-13.22;0.54;-0.94;8.73;-1.81;0.02
11:56:33 م;7.06;-0.63;-1.28;-0.79;3.87;0.03
11:56:34 م;7.35;-14.85;1.68;-8.73;2.82;0.01
11:56:34 م;10.12;-20;16.55;8.14;6.68;-0.01
11:56:34 م;-6.45;-3.38;4.92;5.65;-3.53;0.04
11:56:34 م;4.58;-1.86;-1.48;-1.61;1.76;0.03
11:56:34 م;4.35;-11.99;4.82;-7.08;1.98;0.02
11:56:34 م;7.6;-16.37;18.27;1.44;4.15;-0.01
11:56:34 م;-11.4;-3.89;7.77;6.47;-4.36;0.02
11:56:34 م;4.57;0.4;-2.47;1.48;3;0.02
11:56:34 م;10.87;-13.01;-2.72;-8.73;-0.33;0.03
11:56:35 م;0.89;-19.24;13.53;0.36;3.55;0
11:56:35 م;-11.71;-6.62;2.33;8.73;0.43;0.01
11:56:35 م;6.18;0.68;-0.36;-1.14;2.33;0.03
11:56:35 م;4.9;-13.88;1.63;-8.51;-0.54;0.02
11:56:35 م;-1.11;-19.52;18.79;6.74;3.93;-0.01
11:56:35 م;-7;-1.17;2.2;4.3;-3.41;0.02
11:56:35 م;3.61;0.25;-4.47;-1.04;4.49;0.02
11:56:35 م;13.8;-19.18;7.12;-8.73;0.68;0.01
11:56:35 م;-9.4;-18.4;13.31;7.95;3.55;-0.01
11:56:35 م;-3.98;-3.26;2.06;5.59;-1.5;0.02
11:56:36 م;1.43;-0.46;-3.06;-2.86;4.39;0.02
11:56:36 م;12.77;-15.25;8.2;-6.08;1.55;0.01
11:56:36 م;-4.38;-16.78;19.19;8.06;1.18;-0.01
11:56:36 م;-6;-1.49;0.95;4.42;-2.13;0.02
11:56:36 م;3.09;0.03;-3.18;-2.29;2.59;0.03
11:56:36 م;14.37;-17.2;4.8;-8.73;1.32;0.02
11:56:36 م;0.01;-20.24;17.47;5.48;2.27;-0.01
11:56:36 م;-11.94;-6.31;4.8;8.73;-2.32;0.02
11:56:36 م;5.23;1.02;-1.75;0.15;2.97;0.02
11:56:37 م;1.56;-13.95;-3.34;-8.73;2.3;0.03
11:56:37 م;6.14;-23.17;20.3;0.63;3.03;-0.01
11:56:37 م;-15.09;-11.46;3.68;8.73;-0.02;0
11:56:37 م;1.61;-1.33;0.85;1.88;0.71;0.03
11:56:37 م;-2.93;-11.27;-7;-8.73;2.7;0.03
11:56:37 م;7.11;-21.39;9.67;-0.06;5.86;-0.01
11:56:37 م;-6.18;-13.43;7.67;8.73;-0.06;-0.01
11:56:37 م;-6.04;-0.63;1.24;4.46;0.18;0.03
11:56:37 م;-0.91;-2.69;-9.51;-7.32;7.45;0.02
11:56:37 م;11.08;-24.09;14.57;-5.16;6.06;0
11:56:38 م;-6.05;-18.81;16.3;8.73;-0.33;-0.01
11:56:38 م;-8.24;-2.17;0.14;6.19;-0.6;0.02
11:56:38 م;5.03;0.77;-2.76;-0.03;3.95;0.03
11:56:38 م;3.64;-20.58;0.39;-8.73;0.56;0.02
11:56:38 م;5.12;-24.49;18.66;4.45;3.64;-0.02
11:56:38 م;-15.57;-5.79;1.59;8.73;-1.53;0.01
11:56:38 م;5.16;0.3;0.09;0.49;1.85;0.03
11:56:38 م;3.06;-15.22;-6.99;-8.73;0.34;0.03
11:56:38 م;5;-19.84;8.03;0.87;4.17;-0.01
11:56:39 م;-5.74;-15.4;9.68;8.73;0.16;-0.01
11:56:39 م;-3.83;0.56;0.13;4.2;0.57;0.03
11:56:39 م;0.51;-2.88;-9.64;-8.73;7.09;0.02
11:56:39 م;15.31;-22.78;14.5;-6.38;0.79;0.01
11:56:39 م;-5.34;-18.72;11.79;8.73;1.71;-0.01
11:56:39 م;-8.73;-0.47;1.31;5.92;-0.22;0.02
11:56:39 م;4.1;1.25;-6.62;-4.31;6;0.02
11:56:39 م;11.57;-24.22;6.45;-8.73;-2.1;0.02
11:56:39 م;-2.17;-22.65;16.9;6.61;2.35;-0.01
11:56:39 م;-12.98;-4.8;1.13;8.73;-1.44;0.01
11:56:40 م;4.76;-0.06;-0.5;-0.6;3.07;0.03
11:56:40 م;1.35;-21.75;-6.33;-8.73;-1.23;0.02
11:56:40 م;3.58;-25.21;11.24;3.76;4.61;-0.01
11:56:40 م;-11.82;-13.93;5.77;8.73;0.18;0
11:56:40 م;0.56;0.7;-0.64;1.93;0.87;0.03
11:56:40 م;-3.23;-9.74;-9.67;-8.73;4.45;0.03
11:56:40 م;9.52;-26.29;15.18;-1.35;4.81;-0.01
11:56:40 م;-11.49;-21.32;7.84;8.73;0.83;-0.01
