Timestamp;Accel X;Accel Y;Accel Z;Gyro X;Gyro Y;Gyro Z
06:55:38 م;1.22;-5.37;4.3;1.63;-0.78;0.01
06:55:38 م;0.71;-5.49;7.98;8.29;1.16;0
06:55:38 م;1.68;4.86;4.63;4.45;-0.22;0.01
06:55:38 م;1.62;7.59;5.13;2.21;-0.2;0.01
06:55:38 م;1.36;9.04;-1.52;-1.28;-0.48;0.01
06:55:38 م;-2.3;-2.58;5.18;-8.73;-0.64;0.02
06:55:38 م;3.33;-10.66;9.09;-8.73;0.09;0.02
06:55:38 م;0.74;-8.03;2.25;1.02;0.12;0.01
06:55:38 م;0.69;-10.84;5.57;-0.3;-1.22;0.01
06:55:38 م;1.45;-13.05;7.1;8.73;0.08;0.01
06:55:38 م;3.11;3.28;0.08;8.27;-0.98;0.01
06:55:38 م;2.37;8.33;-0.15;-1.55;0.41;0.01
06:55:38 م;-1.09;-10.46;-1.07;-8.73;-1.2;0.02
06:55:39 م;-1.34;-16.32;7.32;1.14;0.47;0.01
06:55:39 م;0.56;-16.24;8.73;1.84;-1.05;0.01
06:55:39 م;-1.4;-7.21;7.33;8.73;-1.47;0.01
06:55:39 م;2.58;5.4;3.54;6.02;-0.74;0.01
06:55:39 م;1.75;8.35;-0.36;2.34;-0.16;0.01
06:55:39 م;0.07;-0.84;-2.85;-8.73;0.13;0.02
06:55:39 م;6.87;-20.39;15.78;-8.73;-4.59;0.02
06:55:39 م;0.48;-7.34;-0.62;-4.26;-0.83;0.02
06:55:39 م;2.58;-10.1;3.47;8.73;0.49;0.01
06:55:40 م;2.49;-3.27;9.51;6.06;-0.38;0.01
06:55:40 م;2.4;3.33;7.01;6.95;-1.13;0
06:55:40 م;0.16;9.86;-2.48;3.29;-0.81;0.01
06:55:40 م;-0.09;10.21;-5.98;-0.9;0.25;0.01
06:55:40 م;-1.61;5.51;0.73;-8.63;-0.34;0.02
06:55:40 م;0.95;1.3;0.34;-6.19;0.87;0.02
06:55:40 م;-0.02;-15.97;10.6;-8.73;0.14;0.02
06:55:40 م;0.93;-8.73;0.18;-3.82;0.42;0.01
06:55:40 م;2.48;-12.5;5.67;5.62;-0.65;0.01
06:55:40 م;-0.91;-7.1;2.32;8.73;-1.29;0.01
06:55:41 م;3.9;2.81;7.42;8.73;-0.9;0
06:55:41 م;1.44;9.2;-2.59;3.46;-0.83;0.01
06:55:41 م;-0.72;8.85;-8.03;-3.05;0.36;0.01
06:55:41 م;-1.14;4.25;-2.97;-8.73;1.13;0.02
06:55:41 م;1.89;-21.12;9.4;-8.73;0.05;0.02
06:55:41 م;2.11;-8.54;-0.01;-1.57;-0.27;0.01
06:55:41 م;1.82;-11.56;2.53;6.49;-0.4;0.01
06:55:41 م;1.69;-6.11;2;8.73;-0.77;0.01
06:55:41 م;1;2.25;-0.39;8.73;0.18;0.01
06:55:42 م;2.59;9.58;0.02;2.19;0.15;0.01
06:55:42 م;1.39;9.62;-3.45;-2.74;0.7;0.01
06:55:42 م;0.87;0.61;5.17;-8.73;-0.85;0.02
06:55:42 م;1.02;-13.33;9.39;-8.73;1.6;0.02
06:55:42 م;1.3;-6.28;-0.99;-2.84;1.08;0.01
06:55:42 م;0.22;-14.09;2.84;0.92;-0.45;0.01
06:55:42 م;0.85;-12.25;4.57;8.73;0.63;0
06:55:42 م;7.74;4.52;5.15;8.73;-2.07;0.01
06:55:42 م;3.27;9.16;-4.01;2.88;-0.84;0.01
06:55:43 م;0.18;9.44;-3.59;-1.46;0.13;0.01
06:55:43 م;-0.09;5.67;5.3;-8.2;0.16;0.02
06:55:43 م;1.76;-9.81;5.3;-8.73;-0.44;0.02
06:55:43 م;-4.33;-11.23;4.55;1.83;-1.13;0.01
06:55:43 م;-2.44;-10.3;5.01;-0.5;0.51;0.01
06:55:43 م;2.77;-12.64;2.04;8.73;3;0
06:55:43 م;9.98;5.03;-1.73;8;-2.72;0.02
06:55:43 م;1.25;9.74;-1.64;3.45;-0.51;0.01
06:55:43 م;-2.39;8.74;-2.84;0.59;-0.34;0.01
06:55:43 م;0.37;9.32;-6.15;-0.31;0.14;0.01
06:55:44 م;0.04;9.62;-11.98;-5.37;1.3;0.01
06:55:44 م;0.36;-6.56;5.81;-8.73;-2.41;0.02
06:55:44 م;-5.54;-15.05;7.14;-8.73;2.79;0.01
06:55:44 م;-0.37;-10.42;-0.05;-2.5;0.55;0.01
06:55:44 م;-0.73;-8.68;-1.22;-0.12;-0.12;0.01
06:55:44 م;1.56;-19.09;12.28;8.73;-1.94;0.01
06:55:44 م;2.49;2.88;7.93;8.73;-3.15;0.02
06:55:44 م;-0.72;8.38;-4.82;4.51;-0.8;0.01
06:55:44 م;-1.6;8.87;-6.42;0.97;0.06;0
06:55:45 م;-0.83;9.84;-5.95;-2.39;0.83;0.01
06:55:45 م;1.19;8.8;-5.55;-7.8;1.6;0.02
06:55:45 م;0.74;-15.15;1.64;-8.73;0.59;0.02
06:55:45 م;5.11;-11.95;-0.86;2.05;-0.04;0.01
06:55:45 م;2.09;-11.66;-1.53;-2.3;-0.75;0.02
06:55:45 م;1.23;-11.39;-0.66;1.05;-0.7;0.01
06:55:45 م;6.47;-15.78;7.36;8.73;2.85;-0.01
06:55:46 م;-0.92;-7.09;2.86;8.73;-2.26;0.02
06:55:46 م;3.21;5.53;-2.8;4.72;-1.29;0.01
06:55:46 م;-0.66;8.36;-7.81;0.98;-0.39;0.01
06:55:46 م;-2.26;9.1;-9.08;-5.14;0.34;0.02
06:55:46 م;-0.19;-11.4;-0.7;-8.73;-0.66;0.02
06:55:46 م;5.44;-20.3;6.72;-3.3;-0.7;0.01
06:55:46 م;0.95;-13.9;-2.91;-1.97;0.32;0.01
06:55:46 م;-0.32;-12.07;-3.51;-0.54;-0.52;0.01
06:55:46 م;2.86;-17.54;2.12;8.73;0.21;0.01
06:55:46 م;-1.74;-10.34;4.22;8.73;0.58;0.01
06:55:46 م;2.27;4.73;-4.36;8.72;-1.3;0.01
06:55:46 م;1.51;7.23;-8.94;2.81;0.33;0
06:55:47 م;-0.52;9.69;-2.85;-0.46;-0.19;0.02
06:55:47 م;0.99;8.62;-8.71;-5.88;1.18;0.01
06:55:47 م;3.02;-7.14;-4.15;-8.73;-0.94;0.02
06:55:47 م;6.05;-21.35;2.17;-8.59;-0.71;0.01
